,fullName,seasonOutlook,position,player_id,team,injury_status,adp,pos_adp,total_proj
0,Christian McCaffrey,"McCaffrey recorded the most fantasy points per game (24.5) and the third-most fantasy points overall (391) among all players last season. He ranked inside the top three fantasy producers at the position in nearly every statistical category -- from rushing yards (1,459, RB1) and receiving yards (564, RB2) to evaded tackles (77, RB1) and total TDs (21, RB1) -- the 28-year-old stayed healthy for a second straight season. McCaffrey is the centerpiece of the 49ers' explosive offense and he deserves to be at the top of draft boards this summer.",RB,4034,SF,,1.0,1.0,369.85
1,Bijan Robinson,"Robinson's rookie season was a mixed bag that included limited rushing contributions (15th or lower in carries, yards and TDs) but excellent receiving production (top five among RBs in routes, targets, yards and TDs), as well as terrific efficiency. Robinson's season felt underwhelming considering his early-first-round pedigree, but he finished fifth among RBs in snaps, sixth in yards and ninth in fantasy points. With Kirk Cousins now under center and Zac Robinson replacing run-heavy Arthur Smith as the team's play caller, a leap forward for Robinson seems likely in his second campaign. That will especially be the case if he manages more work near the goal line (only two carries inside the 5-yard line in 2023). Robinson should be one of the first RBs off the board on draft day.",RB,9509,ATL,,5.0,3.0,291.81999999999994
2,Breece Hall,"Hall appeared fully recovered from his ACL tear by the end of the 2023 season. He was one of the few bright spots in a struggling Jets offense that was without future Hall of Fame quarterback Aaron Rodgers. From Week 5 on, Hall was no longer on a snap count and his usage increased significantly, as he averaged 20.5 touches and 20.2 fantasy points per game over the final 13 games. Despite the Jets' offense ranking 29th in run block win rate, Hall consistently produced and also led all running backs in targets, receptions and receiving yards. Hall's potential is even greater with Rodgers hopefully under center for the entire 2024 season. Fantasy managers should feel confident drafting him as the second running back off the board, behind Christian McCaffrey.",RB,8155,NYJ,,3.0,2.0,307.08
3,CeeDee Lamb,"Lamb led the entire fantasy football world in fantasy points last season, surpassing 25 points in eight games and truly dominating the second half of the season. Lamb started slow -- a career theme, actually -- but from Week 8 on, he averaged 28.5 fantasy points per game. His 313.6 fantasy points in the final 11 weeks alone topped the full-season performance of all but nine NFL players. Lamb is not only a clear top-five fantasy pick, but with his durability and the Cowboys' high-octane offense, one can make the case for him as a solid choice to go No. 1 overall.",WR,6786,DAL,,6.0,3.0,329.5200000000001
4,Tyreek Hill,"Hill enters his third season with the Dolphins after another exquisite season, in which he averaged 10.7 targets and 23.5 fantasy points per game. Hill was one of only eight players in the league who had at least 90 receptions and 1,200 receiving yards last season. Targets are among the most predictable year-to-year counting stats for wide receivers, and he remains the top option in a Dolphins offense that ranked second in passing yards in 2023, a trend that's expected to continue. Despite Hill entering his age-30 season, he should still be one of the first receivers selected in fantasy drafts.",WR,3321,MIA,,2.0,1.0,332.97
5,Amon-Ra St. Brown,"After inking a new 4-year contract this offseason, St. Brown returns as the leader of the Lions' receiving corps. One of most consistent wide receivers in fantasy, ARSB had an outstanding 11 games with at least 18 fantasy points in 2023. No wide receiver had more top-20 weekly finishes and only Tyreek Hill had more weeks finishing seventh or better. Possessing both a high floor and ceiling, St. Brown was top five in every major receiving category last season and returns to an offense that looks to be just as potent this season. St. Brown is showing no signs of slowing down, and is poised to be a top-five fantasy wide receiver in 2024.",WR,7547,DET,,4.0,2.0,298.34000000000003
6,Ja'Marr Chase,"Chase starts his fourth pro season with the Bengals looking to boost his numbers with a healthy Joe Burrow back running the offense. Chase averaged 16.4 fantasy PPG, down from the 20.0 PPG he registered in 2022 (WR3). However, Chase still posted five games with 20 or more points, including the 52.2-point performance in Week 5 versus the Cardinals. Chase has totaled 29 touchdowns in his career and is one the league's premier players at the position due to his big-play ability and upper-tier play strength. Lock him in as a top 10 player overall in fantasy this season.",WR,7564,CIN,,34.0,11.0,294.52000000000004
7,Justin Jefferson,"Jefferson enters his fifth season with the Vikings after missing significant time due to injury for the first time in his career last season. In his eight healthy games, Jefferson averaged 24 fantasy points per game and was one of only four wide receivers to have at least six games with 23 fantasy points in 2023. In a season where the Vikings started Kirk Cousins, Nick Mullens, Joshua Dobbs and Jaren Hall, Jefferson proved himself QB-proof. This season he'll have Sam Darnold under center. While there could be some growing pains in this offense, Jefferson is one of the few WRs that can make magic happen with subpar QB play. He is once again a top-five fantasy wide receiver.",WR,6794,MIN,,7.0,4.0,288.2900000000001
8,Jonathan Taylor,"An appraisal of Taylor's four-year career thus far shows his epic, All-Pro 2021 effort as an outlier of sorts. His other three NFL seasons include rushing outcomes between 74.1 and 78.3 yards per game and a total of 24 scores in 36 games, painting a picture of a strong RB1 candidate, just not the RB1 overall. It's worth noting we've yet to see Taylor take handoffs from Anthony Richardson, a reality that presents a blend of mystery and upside ahead of this season. With an unproven collection of backs behind him on the depth chart and the potential for a league-leading touch tally, Taylor remains a worthy early-round fantasy pick, even if that 2021 opus isn't the appropriate expectation.",RB,6813,IND,,13.0,7.0,263.36
9,Saquon Barkley,"Barkley left the rival Giants for the superior offense down the New Jersey Turnpike, one stacked with elite options at quarterback, wide receiver and, perhaps most importantly, along the still-dominant offensive line. Barkley's 2023 numbers may appear average, but blame the underwhelming New York offense, from the players to its direction. Still blessed with elite skills, a mostly healthy Barkley finished ninth among running backs at 15.9 fantasy points per game, and he may return to his 2022 numbers (1,312 rushing yards, 57 catches) in this top offense. Barkley is a first-round fantasy pick and potential top-three fantasy RB provided health (one never knows) and volume (no problems there).",RB,4866,PHI,,11.0,5.0,251.01000000000002
10,A.J. Brown,"Brown's second season in Philadelphia statistically mirrored his excellent debut, as he was fifth in receiving yards and provided a cool 17 fantasy points per game, eighth among wide receivers. The way Brown statistically achieved his numbers was a bit disturbing for fantasy managers (and the stumbling Eagles), as he dominated over a six-game stretch early on, averaging 138.5 receiving yards and tallying five touchdowns from Weeks 3 through 8, then reaching 100 yards in just one of the final nine contests. Still, QB Jalen Hurts leads an elite offense, and even with WR DeVonta Smith and new RB Saquon Barkley in the mix, Brown will see ample targets and end zone opportunities. Expect another season as a WR1 option and potential first-round choice.",WR,5859,PHI,,10.0,5.0,281.53999999999996
11,Puka Nacua,"Rostered in just 1.6% of ESPN Fantasy leagues ahead of Week 1 last season, Nacua proved to be the waiver wire's most generous offering. The first-year slotman immediately filled injured Cooper Kupp's shoes to lead the team in routes, targets, catches and yards, while regularly dazzling after the catch (639 YAC, WR5). Nacua's volume dipped after Kupp returned, but the BYU product continued to churn, setting both the NFL rookie receiving yards and receptions records. Given Kupp's age and injury history, Nacua is a good bet to remain Matthew Stafford's most productive pass-catcher again in 2024. He's a solid fantasy WR1.",WR,9493,LAR,,18.0,6.0,272.41999999999996
12,Garrett Wilson,"Wilson is entering his third season with the Jets, with fantasy managers eagerly anticipating his breakout season. Since Wilson joined the league, New York's quarterback unit has yet to exceed a passer rating of 75. Despite this, Wilson has already broken the Jets' franchise records for most receiving yards (1,956) and receptions (159) in his first two seasons. He has also maintained an impressive average of 9.2 targets per game, a reliable metric for wide receivers. Even with Mike Williams added to the fold, Wilson has the potential for a career-best performance in 2024 with Aaron Rodgers returning under center. Projected to lead the Jets in targets, Wilson can be confidently drafted as a low-end WR1 in fantasy drafts.",WR,8146,NYJ,,26.0,7.0,278.72
13,Jahmyr Gibbs,"Gibbs dispelled any draft-day doubts by finishing as fantasy's RB10 in his rookie season. The 12th overall pick in 2023 showcased his explosiveness in a Lions offense that had the second-most RB rushing yards and attempts. Gibbs had six weeks inside the top three at RB, finished second in yards before first contact and was fifth in fantasy points per touch. Despite being in a committee with David Montgomery, Gibbs was also 12th in scrimmage yards, ninth in total touchdowns and top 10 in targets and receptions. All this while ranking 25th among RBs in touches. He won't have the workload of a feature back, but at just 22 years old, Gibbs is already a superstar and should be viewed as a clear top-10 RB.",RB,9221,DET,,9.0,4.0,255.68
14,Kyren Williams,"After injuries kept Williams off the field in 2022, he entered his sophomore effort barely drafted by fantasy managers (14th-round ADP in 12-team PPR leagues). That quickly changed as Williams emerged as the Rams' undisputed RB1, averaging nearly 22 touches per contest in his 12 games played. A creative runner with receiving chops and an uncanny nose for the end zone (15 total TDs, third among RBs), Williams turned on the jets down the stretch, posting nearly 24 fantasy points per game from Weeks 12 through 17. He did break his hand during the team's Wild Card game in Detroit, but should be healed up in time for training camp. Fantasy managers will want to keep an eye on rookie Blake Corum's potential ascent, but Williams remains the lead back and is a solid RB1 target.",RB,8150,LAR,,15.0,8.0,233.39000000000004
15,Isiah Pacheco,"If Pacheco's rookie campaign was the one that put him on the fantasy map, his sophomore year was the one that earned him star status. His 15.3 fantasy points per game were nearly double his 2022 number (7.9), and he surged late in the season, scoring 20-plus points in three of his final four regular-season games before totaling 373 yards and three touchdowns on 93 touches during the Chiefs' Super Bowl championship run. Most importantly, Pacheco handled seven of the team's 10 goal line carries and 16 of 23 carries in goal-to-go situations, establishing himself the clear primary rusher. He's a fantasy RB1 and should settle in as a near-universal second-round pick.",RB,8205,KC,,17.0,9.0,236.40999999999997
16,Travis Etienne,"Fresh off a career campaign that saw him tally the third-most touches in the league, Etienne is firmly in the RB1 discussion as he enters his fourth season. Volume was arguably his greatest asset, as the Clemson product's efficiency has room for improvement (he finished 38th in yards per touch among backs with at least 50 rushing attempts). Etienne is likely to handle another compelling blend of early-down, red zone and receiving opportunities this season. Given such heavy usage, age and production, Etienne's path to repeating a top-12 fantasy finish appears viable.",RB,7543,JAX,,24.0,13.0,241.0300000000001
17,Chris Olave,"Olave is entering his third NFL season after posting a pair of top-25 fantasy campaigns in his his first two campaigns. The 24 year old saw a boost in targets, receptions, yardage and touchdowns in his second season, finishing top 20 among receivers in all but the latter category. The Saints didn't add any significant target competition for Olave, which means he's a near lock to continue handling a massive workload. More usage near the goal line would get Olave to the next level (14 career end zone targets), but he's a good bet for another 80-catch, 1,000-plus yard season and thus makes for a fringe WR1.",WR,8144,NO,,37.0,12.0,235.76999999999995
18,Michael Pittman,"A steady career progression as a sure-handed receiver earned Pittman a big extension from the Colts heading into his fifth season. The son of a former bruising running back, Pittman handles a physical, possession role that includes rare volume, as he finished ninth in total targets and fifth in receptions in 2023. A touchdown-per-target rate of just 3.1% as a pro and a modest average depth of target clip the past two seasons have resulted in WR2 outcomes for Pittman. As the likely first read for Anthony Richardson on most dropbacks this season, Pittman enters the season with a stable floor for WR2 production and the upside for a new tier of value. Targeting Pittman after the crop of true WR1 options are taken could prove savvy.",WR,6819,IND,,63.0,27.0,222.89
19,Mike Evans,"Evans is entering his 11th NFL season (all with Tampa Bay) after signing an extension during the offseason. The future Hall of Famer has produced 1,000-plus receiving yards in each of his first 10 seasons and actually posted the third-most receiving yards and matched the second-highest TD total of his career in 2023. Evans' seventh-place finish in fantasy points marked his best finish since 2016 and he's never finished a campaign worse than 23rd. Evans is nearing the end of his career, but at age-31, he likely still has another year of high-end play left in the tank. As long as Baker Mayfield is under center, Evans will remain, at worst, a good WR2.",WR,2216,TB,,48.0,19.0,224.75000000000003
20,Davante Adams,"Considering Adams endured three quarterbacks throwing him the football and a midseason coaching change, his 2023 season was probably better than you remember it being. Adams finished 10th among WRs in fantasy points. He got off to a scorching start, with two 20-point performances in his first three weeks, but suffered an inexplicable, mid-year dip in targets just before Josh McDaniels was dispatched. Under Antonio Pierce, Adams finished strong, posting the league's highest target share (36.4%) and five games of 14-plus fantasy points. It was a reminder that Adams is one of the league's true game-changing receivers, independent of who is throwing him the football. He remains a fantasy WR1 entering his age-31 season.",WR,2133,LV,,39.0,14.0,229.04
21,Marvin Harrison,"A polished playmaker with elite NFL bloodlines, Harrison is arguably the most pro-ready player in this year's draft class, regardless of position. Kyler Murray may not be the most consistent passer in the NFL, but he has proven capable of supporting a top-15 fantasy producer at the position (DeAndre Hopkins was a top-15 WR in fantasy PPG in all three of his seasons as a Cardinal). Harrison should easily emerge as Murray's primary option, likely flirting with double-digit targets on a regular basis and making him a priority rookie in redraft and dynasty formats.",WR,11628,ARI,,50.0,20.0,234.45000000000002
22,Drake London,"London is entering his third NFL season well positioned for a big statistical leap after Atlanta's offseason coaching change. Out is Arthur Smith, whose run-heavy scheme limited London to 72-866-4 and 69-905-2 receiving lines during his first two campaigns. The 2022 first-round pick has impressed when utilized, but has yet to finish a season better than 40th among WRs in routes and has 14 career end zone targets to his name. The underwhelming usage figures to change in a big way with Zac Robinson calling plays and Kirk Cousins under center. London is still entering his prime at age-23 and has elite upside in Atlanta's new scheme. He's best-valued as a good WR2, but there's room for more.",WR,8112,ATL,,30.0,9.0,242.54000000000002
23,Derrick Henry,"After playing eight seasons in Tennessee, Henry signed with the Ravens in free agency to take over the lead role in the Baltimore backfield. While Henry will turn 30 years old this season, he can still get on a north/south track as a downhill hammer in the run game, with enough juice to create big plays. In 2023, Henry's 272 carries tied for the league lead, and his 2.22 yards after first contact ranked at the top. With the Ravens, Henry will work behind a stronger offensive front and pair with Lamar Jackson to create a dynamic backfield attack. Henry won't give you high-end receving numbers (27 receptions last season), but the rushing volume and scoring opportunities place the veteran in the upper-tier RB2 discussion.",RB,3198,BAL,,25.0,14.0,239.29000000000002
24,Rachaad White,"White returns as the lead back in Tampa, entering his third season. He was the RB4 in fantasy scoring last season, racking up solid rushing yards, showing off his receiving skills and scoring nine total touchdowns. The Bucs made minimal changes behind White on the depth chart this offseason, with fourth-round pick Bucky Irving the most notable addition. Irving could earn his way into some work, but White outperformed expectations last season and should maintain a featured role. White has the look of a value pick once the big names are off the board in your league.",RB,8136,TB,,20.0,10.0,220.39000000000004
25,Nico Collins,"If Year 3 saw Collins break out in a big way, what does his fourth season have in store? It's impressive to note that despite being just 30th in the league in targets last season, Collins finished eighth in receiving yardage. Second only to Tyreek Hill in yards per route run in 2023, Collins shined via both surface and advanced statistics. This was all accomplished during a season that saw him miss multiple games due to injury. Even as the team brought in target competition for this upcoming season in Stefon Diggs, Collins' unique verticality, prime age and established rapport with C.J. Stroud inspires confidence in WR1 expectations for the Texans. You'll likely need to be aggressive in drafts to get your hands on this ascending wideout in the early rounds.",WR,7569,HOU,,29.0,8.0,240.93
26,Malik Nabers,"The Giants desperately needed an offensive gamebreaker with big-play ability at wide receiver, someone they can line up anywhere, and they got it by securing Nabers with the sixth overall pick in the April draft. Nabers dominated at LSU, averaging better than 12 yards per target in his final season, and with a huge target share, but things are quite different in the Giants' offense. They struggle to throw the football downfield with Daniel Jones at QB. Nabers has the skills to change the offense and become a fantasy star, but it is tough to recommend him as more than WR3 initially.",WR,11632,NYG,,71.0,32.0,205.86
27,Alvin Kamara,"Kamara had a career-low 694 rush yards on just 3.9 yards per carry last season, but he was still an effective receiver (75 receptions) despite being 29 years old, and he finished as RB11. He was able to hold off rookie Kendre Miller, who was often injured last season, but we expect Miller to make a bigger impact this season. The versatile Taysom Hill is also probably going to eat into Kamara's production, further clouding his outlook. Kamara was ninth in the league in red zone touches and should still be a go-to option, but the days of him being one of the first RBs off the board are over. He's now a low-end RB1, and the aforementioned TD vultures will be bothersome to his fantasy managers this season.",RB,4035,NO,,12.0,6.0,234.05999999999995
28,James Cook,"Cook returns to the gridiron for his third season with the Bills. He finished as RB12 in fantasy last season and ranked fourth in the league in rushing yards. Joe Brady replacing Ken Dorsey as offensive coordinator was a godsend for Cook. From Weeks 11 through 18, Cook averaged and impressive 19.6 touches and 16.4 fantasy points per game. Since Cook is the undisputed leader of the Bills' backfield, we can expect a similar workload from him in 2024. He can be safely drafted as a high-end RB2.",RB,8138,BUF,,33.0,17.0,209.62
29,Josh Jacobs,"Jacobs joins the Packers after spending his first five years with the Raiders. In 2023, Jacobs resumed his go-to-back role and finished second in touches per game. However, despite that volume, Jacobs was RB17 in fantasy points per game, due to career lows in rushing yards, touchdowns and yards per rush. At 26 years old, Jacobs reprises his lead-back duties in Green Bay, replacing Aaron Jones and sharing the backfield with rookie MarShawn Lloyd. Jacobs is one of only five RBs with at least 50 targets in each of the past three seasons, and he gets enough passing-game work to maintain a high weekly floor. With another heavy workload on the horizon, Jacobs is a top-15 running back.",RB,5850,GB,,23.0,12.0,248.33999999999992
30,DK Metcalf,"Despite missing the first game of his five-year career and, at times, struggling to connect with Geno Smith, Metcalf posted his second consecutive season of more than 1,000 receiving yards. The SPARQ standout led the team in target percentage (23%) with a healthy number of looks occurring in the red area of the field (24). Metcalf also thrived as the team's primary deep threat, averaging more than 95 air yards per game (WR12) while recording a career-best 16.9 YPR (WR6). His upside is overwhelming and figures to be clearly baked into his top-20 positional ADP.",WR,5846,SEA,,47.0,18.0,222.50000000000003
31,Deebo Samuel,"The 49ers are flush with talent, making each player's volume difficult to predict on a weekly basis. Christian McCaffrey's arrival, however, appears to have had the biggest impact on Samuel, whose rushing opportunities have dwindled from 3.7 per game in 2021 to 2.5 per contest in 2023. Still, the wideback continued to produce for fantasy managers, thriving in the red area of the field with a team-leading number of red zone looks (17) and 12 total TDs (WR4). While durability is a concern, Samuel's versatile usage and overall efficiency provide him with a sky-high ceiling. Target him as a WR2.",WR,5872,SF,,54.0,22.0,237.98
32,Brandon Aiyuk,"While Aiyuk didn't draw a ton of targets relative to the position (105, WR30), he did materialize as the 49ers' most peppered pass-catcher, registering 21 more looks and eight more grabs than Christian McCaffrey. Aiyuk's next-level efficiency and career-best YPR (17.9, WR2) buoyed his volume and provided fantasy managers with regular double-digit fantasy totals. A regression remains reasonable to expect heading into 2024, but Aiyuk is a primary target in an elite offense and, thus, a solid WR2 target.",WR,6803,SF,,59.0,25.0,240.54
33,DJ Moore,"Moore is the WR1 in Chicago after delivering the best fantasy season of his career in 2023, setting career highs in receptions, receiving yards and receiving touchdowns. It helped that he saw 15 end zone targets, good enough for sixth most at the position. Moore will look to continue his NFC North dominance while splitting targets with Keenan Allen and rookie Rome Odunze. Add to that a rookie QB in Caleb Williams and you've got yourself a wide receiver with top-10 talent but a ranking closer to WR20.",WR,4983,CHI,,52.0,21.0,223.89000000000001
34,Josh Allen,"Allen is back for his seventh season with the Bills. The dual-threat quarterback has been a fantasy dynamo over the past three seasons, averaging 24.7 fantasy points per game (best among QBs). Allen lost Stefon Diggs and Gabe Davis this offseason, which is notable because he averaged only 253.3 passing yards per game last season (his lowest since 2019) and he rushed for his fewest yards since 2020. He more than made up for the rushing decline with 15 rush TDs, which will be tough to repeat. It will be difficult to replace Diggs, but the team did add Curtis Samuel in free agency and Keon Coleman with the No. 33 pick in the draft. Allen is still firmly on the QB1 radar, but managers shouldn't be surprised if we see some regression in 2024.",QB,4984,BUF,,8.0,1.0,413.64000000000004
35,Sam LaPorta,"LaPorta is back as the Lions' starting tight end after putting together a historic rookie season which saw him finish the season as TE1. LaPorta and Jared Goff immediately hit it off, with the young tight end becoming a trusted target and ranking top five in routes, targets, receptions, receiving yards, touchdowns and end zone targets, as well as finishing second in team target share. Fantasy managers should expect more of the same in 2024 with the Lions returning the majority of their starting offense, LaPorta should be the top tight end off the board on draft day.",TE,10859,DET,,16.0,2.0,235.78000000000003
36,Travis Kelce,"The stats back Kelce as best tight end in fantasy football history. He has 2,116.7 points since 2016, by far the most any tight end has scored over an eight-year period, and he has six positional first-place finishes in that span, never finishing worse than third. Still, Kelce's detractors cite his 10.6 yards per reception and 12.9% big-play rates from 2023, both the worst of his NFL career. We counter that the Chiefs' problems at wide receiver put oodles of pressure on him to perform, and made it easier for opponents to defend him. Kelce's days of being a mid-first-round pick and virtual TE1 lock might be behind him, but he's still Patrick Mahomes' go-to guy and plenty capable of a 2023 repeat.",TE,1466,KC,,14.0,1.0,239.11999999999998
37,Jalen Hurts,"Hurts comes off his best NFL season, thanks mainly to 15 rushing touchdowns, tying Josh Allen for the most among QBs. In fact, no other QBs reached seven rushing scores. Hurts finished behind only Allen in fantasy points at the position despite playing the final months with a knee injury, as the Eagles collapsed down the stretch. Don't blame Hurts. He averaged 21.5 fantasy points from Weeks 15 through 17, before sitting most of the finale. The Eagles lost C Jason Kelce, but the offensive line and wide receiver options remain top-notch, and the controversial ""tush push"" play Hurts feasts on remains legal. Expect another fantastic statistical season, and a legitimate chance to finish as fantasy's top scorer.",QB,6904,PHI,,19.0,2.0,395.92999999999995
38,Joe Mixon,"After joining the Texans in March via trade, Mixon looks to bring his volume-driven, veteran appeal to an emergent Houston offense. While efficiency wasn't the hallmark of Mixon's final season with the Bengals, he did handle a massive workload en route to finishing sixth in total fantasy points among backs and ninth in per-game production in 2023. The Texans didn't pepper the backfield with many targets last season (28th in the league), but the team did rank 12th in both total carries and red zone totes allocated to backs. Without much competition for snaps, targets or touches present on the depth chart, Mixon is poised for another big role on a team flush with receiving weapons that could yield light opposing boxes.",RB,4018,HOU,,21.0,11.0,229.64
39,Kenneth Walker,"There was concern that Seattle would revert to utilizing an RBBC after selecting UCLA's Zach Charbonnet in the second round of the 2023 draft. While Walker and Charbonnet logged an even number of snaps, Walker remained the team's primary option, averaging nearly 15 carries and two catches per contest for the season. Despite demonstrating high-end burst and change-of-direction ability (72 evaded tackles, RB3), Walker struggled with efficiency (4.1 YPC). His receiving chops also remain in question, as he drew fewer targets and posted a lower catch rate (78.4%, RB22) than the aforementioned Charbonnet. Still, Walker figures to lead Seattle's backfield and should deliver RB2 numbers for fantasy managers in 2024.",RB,8151,SEA,,36.0,19.0,191.78
40,De'Von Achane,"What will Achane do as an encore to his impressive rookie season? He led the league in yards per carry (7.8), among those with a minimum of 100 attempts. The Dolphins were one of the league's most dynamic offenses last season, ranking third in total yards and points per game under head coach and playcaller Mike McDaniel. Expect more of the same in 2024. One red flag with Achane is his durability, as he missed six games last season. However, he remains lethal with the football in his hands, averaging 17.3 fantasy points per game despite only 12.0 touches per game. Those rates scream regression candidate, but that should be offset by a boost in volume in Year 2. Achane will split touches with Raheem Mostert, but he can be drafted as an excellent, high-end flex option with tremendous upside.",RB,9226,MIA,,27.0,15.0,211.19000000000003
41,Stefon Diggs,"A blockbuster spring trade saw Diggs move from Orchard Park to the heart of Texas as he heads into his 10th year in the NFL. The questions are clear: Was Diggs' disappearing act down the stretch last season a sign of steep decline? Or rather a shift in priorities amid a midseason change in Buffalo's offensive coaching leadership? A counter to the demise angle would be Diggs ranking sixth in the NFL in yards per game through Week 9 last season. With motivation to thrive both reputationally and contractually, the potential for a rewarding percentage of C.J. Stroud's attention means fantasy investors can confidently draft Diggs as a WR2.",WR,2449,HOU,,42.0,16.0,225.57
42,DeVonta Smith,"Smith surpassed 1,000 receiving yards for the second consecutive season, and enters his fourth NFL season with a secure, three-year contract extension. While fantasy managers may bristle at the 2020 Heisman Trophy winner continuing his statistical success in a loaded offense with Jalen Hurts, Saquon Barkley and A.J. Brown, it hasn't been an issue so far. Smith may not see top target share compared to other elite WRs, but he averaged a career-best 9.5 yards per target and offers a high fantasy floor, having scored double-digit fantasy points in 11 games last season. Consider Smith a fringe WR2.",WR,7525,PHI,,43.0,17.0,231.05000000000004
43,Jaylen Waddle,"Waddle has been superb since being selected sixth overall in the 2021 NFL draft. Since Tyreek Hill came to Miami two seasons ago, Waddle has averaged 7.0 targets and 14.7 fantasy points per game. He's also been very efficient over that time frame, catching 66.5% of his targets. In 2023, under head coach and playcaller Mike McDaniel, the Dolphins' offense was second in passing yards per game. That trend should continue in 2024 and Waddle will be actively involved. He's projected for the second-most targets on the team behind Hill and is a fringe fantasy WR2.",WR,7526,MIA,,40.0,15.0,235.21000000000004
